Image,Class,Flag,Recaptured_Probability
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1004_1701006040_LD_22012034947728_2025-04-10R1042025064613.jpeg,not_recaptured,1,0.9983589
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1004_1711004022_WC_22012035056994_2025-04-10R1042025103707.jpeg,recaptured,0,0.29078874
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1004_1711007049_WC_22012035127711_2025-04-10R1042025084507.jpeg,not_recaptured,1,0.9944495
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1005_1701005064_LD_22012034949346_2025-04-10R1042025053713.jpeg,not_recaptured,0,0.7235521
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1005_1701006040_FR_22012034322689_2025-04-10R1042025064415.jpeg,not_recaptured,1,0.99149805
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1005_1711004012_RC_22012034839210_2025-04-10R1042025110717.jpeg,not_recaptured,1,0.9962817
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1005_1711007049_WC_22012035127711_2025-04-10R1042025084513.jpeg,not_recaptured,1,0.9988254
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1005_1736011020_WC_22012035127576_2025-04-10R1042025051616.jpeg,not_recaptured,1,0.9987631
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1005_1736011020_WC_22012035127576_2025-04-10R1042025102025.jpeg,not_recaptured,1,0.9946995
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1006_1701005064_LD_22012034949346_2025-04-10R1042025053719.jpeg,not_recaptured,0,0.787242
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1006_1701006040_FR_22012034322689_2025-04-10R1042025064420.jpeg,not_recaptured,1,0.9970299
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1006_1709001038_IC_22012034887115_2025-04-10R1042025125436.jpeg,recaptured,0,0.3306871
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1006_1713004053_RC_22012034829528_2025-04-10R1042025013824.jpeg,not_recaptured,1,0.9980433
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1007_1701005064_LD_22012034949346_2025-04-10R1042025053736.jpeg,not_recaptured,1,0.95947385
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1007_1701006040_FR_22012034322689_2025-04-10R1042025064425.jpeg,not_recaptured,1,0.9974936
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1008_1701006040_FR_22012034322689_2025-04-10R1042025064431.jpeg,not_recaptured,1,0.9959906
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1008_1706008114_IC_22012034887925_2025-04-10R1042025070635.jpeg,not_recaptured,1,0.97756416
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1008_1711007049_WC_22012035127711_2025-04-10R1042025084534.jpeg,not_recaptured,1,0.98922557
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1009_1701006040_FR_22012034322689_2025-04-10R1042025064435.jpeg,not_recaptured,1,0.99225384
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\100_1711002065_WC_22012035233206_2025-04-10R1042025111955.jpeg,not_recaptured,1,0.99346936
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1010_1701006040_FR_22012034322689_2025-04-10R1042025064441.jpeg,not_recaptured,1,0.99642193
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1010_1711004012_RC_22012034839210_2025-04-10R1042025110757.jpeg,not_recaptured,1,0.9952146
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1012_1701006040_FR_22012034322689_2025-04-10R1042025064455.jpeg,not_recaptured,1,0.99686086
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1012_1706006085_WC_22012035246546_2025-04-10R1042025085635.jpeg,not_recaptured,1,0.9809825
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1013_1701006040_FR_22012034322689_2025-04-10R1042025064500.jpeg,not_recaptured,1,0.99738985
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1013_1706006085_WC_22012035246546_2025-04-10R1042025085640.jpeg,not_recaptured,1,0.9812282
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1013_1711004012_RC_22012034839210_2025-04-10R1042025110835.jpeg,not_recaptured,1,0.9979956
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1014_1701006040_FR_22012034322689_2025-04-10R1042025064505.jpeg,not_recaptured,1,0.99567235
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1014_1709001038_WC_22012035233384_2025-04-10R1042025125520.jpeg,not_recaptured,0,0.53323954
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1014_1711004012_RC_22012034839210_2025-04-10R1042025110843.jpeg,not_recaptured,1,0.998026
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1015_1701006040_FR_22012034322689_2025-04-10R1042025064511.jpeg,not_recaptured,1,0.99834275
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1015_1706006085_WC_22012035246546_2025-04-10R1042025085652.jpeg,not_recaptured,1,0.9912732
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1015_1709001038_WC_22012035233384_2025-04-10R1042025125530.jpeg,not_recaptured,0,0.80665225
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1016_1701006040_FR_22012034322689_2025-04-10R1042025064517.jpeg,not_recaptured,1,0.99421096
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1016_1706006085_WC_22012035246546_2025-04-10R1042025085658.jpeg,not_recaptured,1,0.99335974
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1016_1715003075_WH_22012034943171_2025-04-10R1042025055114.jpeg,not_recaptured,1,0.8963023
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1017_1701006040_FR_22012034322689_2025-04-10R1042025064523.jpeg,not_recaptured,1,0.9975152
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1017_1711003023_LD_22012034943333_2025-04-10R1042025110155.jpeg,not_recaptured,1,0.93678856
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1017_1711006064_RC_22012034838479_2025-04-10R1042025041514.jpeg,not_recaptured,1,0.99832076
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1017_1715003075_WH_22012034943171_2025-04-10R1042025055121.jpeg,not_recaptured,1,0.9779382
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1018_1701006040_FR_22012034322689_2025-04-10R1042025064532.jpeg,not_recaptured,1,0.9973273
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1018_1706006085_WC_22012035246546_2025-04-10R1042025085723.jpeg,not_recaptured,1,0.99272823
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1018_1711003023_LD_22012034943333_2025-04-10R1042025110201.jpeg,not_recaptured,1,0.96787864
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1018_1724003027_WC_22012035207952_2025-04-10R1042025080444.jpeg,not_recaptured,1,0.9972716
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1018_1725005042_WC_22012035227583_2025-04-10R1042025054100.jpeg,not_recaptured,1,0.99360895
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1019_1701005064_LD_22012034949345_2025-04-10R1042025044539.jpeg,not_recaptured,1,0.94286704
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1019_1701006040_FR_22012034322689_2025-04-10R1042025064538.jpeg,not_recaptured,1,0.9923011
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1019_1706006085_WC_22012035246546_2025-04-10R1042025085729.jpeg,not_recaptured,1,0.994296
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1019_1708005059_LD_22012034946554_2025-04-10R1042025062242.jpeg,not_recaptured,1,0.91117316
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1019_1708005059_LD_22012034946554_2025-04-10R1042025125440.jpeg,not_recaptured,0,0.78626853
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1019_1711003023_LD_22012034943333_2025-04-10R1042025110207.jpeg,not_recaptured,1,0.9677885
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1019_1717004013_DP_22012034607124_2025-04-10R1042025074715.jpeg,recaptured,0,0.03223925
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1019_1725005042_WC_22012035227583_2025-04-10R1042025054106.jpeg,not_recaptured,1,0.990139
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\101_1703003012_RC_22012034838519_2025-04-10R1042025104646.jpeg,not_recaptured,1,0.9824682
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1020_1701005064_LD_22012034949345_2025-04-10R1042025044545.jpeg,not_recaptured,1,0.9895795
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1020_1701006040_FR_22012034322689_2025-04-10R1042025064546.jpeg,not_recaptured,1,0.99493426
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1020_1711004012_RC_22012034839210_2025-04-10R1042025110931.jpeg,not_recaptured,1,0.98449755
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1020_1711006064_RC_22012034838479_2025-04-10R1042025041546.jpeg,not_recaptured,0,0.62222487
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1021_1701005064_LD_22012034949345_2025-04-10R1042025044612.jpeg,not_recaptured,0,0.78869563
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1021_1708005059_LD_22012034946554_2025-04-10R1042025062333.jpeg,not_recaptured,1,0.9849172
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1021_1708005059_LD_22012034946554_2025-04-10R1042025125519.jpeg,not_recaptured,1,0.9428621
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1021_1711003002_LD_22012034949768_2025-04-10R1042025104731.jpeg,not_recaptured,0,0.8423353
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1021_1717004013_DP_22012034607124_2025-04-10R1042025074738.jpeg,recaptured,0,0.07015635
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1022_1701005064_LD_22012034949345_2025-04-10R1042025044619.jpeg,not_recaptured,1,0.98504585
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1022_1701006040_LD_22012034947730_2025-04-10R1042025064721.jpeg,not_recaptured,1,0.9974605
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1022_1708005059_LD_22012034946554_2025-04-10R1042025063220.jpeg,not_recaptured,1,0.95628124
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1022_1708005059_LD_22012034946554_2025-04-10R1042025125540.jpeg,not_recaptured,1,0.96484816
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1022_1711003002_LD_22012034949769_2025-04-10R1042025104754.jpeg,not_recaptured,1,0.8966507
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1022_1711006064_RC_22012034838479_2025-04-10R1042025041600.jpeg,not_recaptured,1,0.99454814
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1023_1701005064_LD_22012034949345_2025-04-10R1042025044626.jpeg,not_recaptured,1,0.96473867
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1023_1701006040_LD_22012034947730_2025-04-10R1042025064729.jpeg,not_recaptured,1,0.9969398
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1023_1711006064_RC_22012034838479_2025-04-10R1042025041606.jpeg,not_recaptured,1,0.99704045
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1024_1701005064_LD_22012034949345_2025-04-10R1042025044635.jpeg,not_recaptured,0,0.8253271
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1024_1701006040_LD_22012034947730_2025-04-10R1042025064734.jpeg,not_recaptured,1,0.99777967
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1024_1708005059_LD_22012034946554_2025-04-10R1042025063227.jpeg,not_recaptured,1,0.93746936
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1024_1708005059_LD_22012034946554_2025-04-10R1042025125736.jpeg,recaptured,0,0.35039666
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1024_1711003040_LD_22012034602450_2025-04-10R1042025082502.jpeg,not_recaptured,1,0.9453873
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1024_1725005042_WC_22012035253581_2025-04-10R1042025063857.jpeg,not_recaptured,1,0.99647224
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1025_1701005064_LD_22012034949345_2025-04-10R1042025044642.jpeg,not_recaptured,1,0.91334134
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1025_1701006040_LD_22012034947730_2025-04-10R1042025064738.jpeg,not_recaptured,1,0.99865216
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1025_1708003007_WC_22012035257865_2025-04-10R1042025023920.jpeg,not_recaptured,0,0.6906416
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1025_1708005059_LD_22012034946554_2025-04-10R1042025063233.jpeg,not_recaptured,1,0.954995
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1025_1708005059_LD_22012034946554_2025-04-10R1042025125809.jpeg,not_recaptured,1,0.9115469
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1025_1711006064_RC_22012034838479_2025-04-10R1042025041619.jpeg,not_recaptured,1,0.99676514
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1026_1701005064_LD_22012034949345_2025-04-10R1042025044649.jpeg,not_recaptured,1,0.9252736
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1026_1701006040_LD_22012034947730_2025-04-10R1042025064744.jpeg,not_recaptured,1,0.9973851
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1026_1701007056_LD_22012034951407_2025-04-10R1042025015112.jpeg,not_recaptured,1,0.99856466
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\NMMS PHOTOS OF 10TH APRIL\NMMS PHOTOS OF 10TH APRIL\1026_1706008051_RS_22012034566238_2025-04-10R1042025010731.jpeg,not_recaptured,1,0.99883574
