Image,Class,Recaptured_Probability,Flag
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-26R2622025093839.jpeg,clear,-5.1005659103393555,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-27R2722025094006.jpeg,clear,-4.6346964836120605,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-02-28R2822025073511.jpeg,clear,-4.8801069259643555,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-03-01R132025092647.jpeg,clear,-4.659913539886475,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-03-02R232025102453.jpeg,clear,-5.372821807861328,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-03-03R332025104049.jpeg,clear,-4.417314529418945,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-03-04R432025092535.jpeg,clear,-4.243009090423584,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-03-05R532025082141.jpeg,clear,-5.446125507354736,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-03-06R632025081439.jpeg,clear,-5.178380966186523,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-03-07R732025110027.jpeg,clear,-5.3443756103515625,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10000_2007007009_IC_57943_2025-03-08R832025091728.jpeg,clear,-5.289680480957031,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_1608014002_LD_658633_2025-02-19R1922025091037.jpeg,clear,-5.189903259277344,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_1608014002_LD_658633_2025-02-20R2022025090523.jpeg,clear,-5.564594268798828,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_1608014002_LD_658633_2025-02-21R2122025091156.jpeg,clear,-5.867295265197754,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_1608014002_LD_658633_2025-02-22R2222025090829.jpeg,clear,-6.845948219299316,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_1610011006_IC_383181_2025-02-19R1922025095314.jpeg,clear,-4.666933059692383,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_2007007009_IC_57943_2025-02-22R2222025103813.jpeg,clear,-3.3806049823760986,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_2007007009_IC_57943_2025-02-23R2322025100320.jpeg,clear,-4.960374355316162,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_2007007009_IC_57943_2025-02-24R2422025093737.jpeg,clear,-5.177845001220703,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_2007007009_IC_57943_2025-02-25R2522025104305.jpeg,clear,-4.448578357696533,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_2007007009_IC_57943_2025-02-26R2622025093735.jpeg,clear,-5.285881996154785,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_2007007009_IC_57943_2025-02-27R2722025094350.jpeg,clear,-3.7409656047821045,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_2007007009_IC_57943_2025-02-28R2822025073519.jpeg,clear,-5.7553935050964355,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_2007007009_IC_57943_2025-03-01R132025092428.jpeg,clear,-4.5780839920043945,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_2007007009_IC_57943_2025-03-02R232025102029.jpeg,clear,-6.288112640380859,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_2007007009_IC_57943_2025-03-03R332025103516.jpeg,clear,-4.99906587600708,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_2007007009_IC_57943_2025-03-04R432025092132.jpeg,clear,-4.488286972045898,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_2007007009_IC_57943_2025-03-05R532025081817.jpeg,clear,-4.941861152648926,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_2007007009_IC_57943_2025-03-06R632025093345.jpeg,clear,-5.391143321990967,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_2007007009_IC_57943_2025-03-07R732025110035.jpeg,clear,-5.692137241363525,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10001_2007007009_IC_57943_2025-03-08R832025084611.jpeg,clear,-4.587597846984863,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_1308006258_RC_8000216564_2025-02-27R2722025111450.jpeg,clear,-5.198095321655273,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_1609002001_WC_668462_2025-02-19R1922025065349.jpeg,clear,-5.213921546936035,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_1609002001_WC_668462_2025-02-20R2022025054014.jpeg,clear,-5.412315845489502,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_1609002001_WC_668462_2025-02-21R2122025043531.jpeg,clear,-6.260948181152344,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_2007007009_IC_57943_2025-02-22R2222025103821.jpeg,clear,-4.4218878746032715,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_2007007009_IC_57943_2025-02-23R2322025100336.jpeg,clear,-5.293147563934326,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_2007007009_IC_57943_2025-02-24R2422025093744.jpeg,clear,-5.4647369384765625,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_2007007009_IC_57943_2025-02-25R2522025104314.jpeg,clear,-5.34250545501709,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_2007007009_IC_57943_2025-02-26R2622025093850.jpeg,clear,-3.9091262817382812,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_2007007009_IC_57943_2025-02-27R2722025093829.jpeg,clear,-4.975778579711914,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_2007007009_IC_57943_2025-02-28R2822025073713.jpeg,clear,-5.372853755950928,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_2007007009_IC_57943_2025-03-01R132025092440.jpeg,clear,-3.674001455307007,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_2007007009_IC_57943_2025-03-02R232025102352.jpeg,clear,-4.671785831451416,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_2007007009_IC_57943_2025-03-03R332025103528.jpeg,clear,-4.887884140014648,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_2007007009_IC_57943_2025-03-04R432025092629.jpeg,clear,-5.175650119781494,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_2007007009_IC_57943_2025-03-05R532025082919.jpeg,clear,-4.550331115722656,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_2007007009_IC_57943_2025-03-06R632025094511.jpeg,clear,-4.673844814300537,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_2007007009_IC_57943_2025-03-07R732025110042.jpeg,clear,-3.4529051780700684,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10002_2007007009_IC_57943_2025-03-08R832025085709.jpeg,clear,-4.978540897369385,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_1609002001_WC_669260_2025-02-19R1922025125501.jpeg,clear,-5.310237884521484,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_1609002001_WC_669260_2025-02-20R2022025111352.jpeg,clear,-4.674069404602051,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_2007007009_IC_57943_2025-02-22R2222025103831.jpeg,clear,-4.979080677032471,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_2007007009_IC_57943_2025-02-23R2322025100346.jpeg,clear,-5.574796676635742,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_2007007009_IC_57943_2025-02-24R2422025093855.jpeg,clear,-4.902400016784668,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_2007007009_IC_57943_2025-02-25R2522025104322.jpeg,clear,-4.518846035003662,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_2007007009_IC_57943_2025-02-26R2622025093450.jpeg,clear,-4.3513078689575195,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_2007007009_IC_57943_2025-02-27R2722025094452.jpeg,clear,-4.691254615783691,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_2007007009_IC_57943_2025-02-28R2822025073727.jpeg,clear,-4.451125621795654,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_2007007009_IC_57943_2025-03-01R132025092452.jpeg,clear,-5.534041881561279,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_2007007009_IC_57943_2025-03-02R232025102214.jpeg,clear,-3.8594748973846436,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_2007007009_IC_57943_2025-03-03R332025103251.jpeg,clear,-4.058887958526611,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_2007007009_IC_57943_2025-03-04R432025091335.jpeg,clear,-5.01238489151001,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_2007007009_IC_57943_2025-03-05R532025082901.jpeg,clear,-5.12980842590332,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_2007007009_IC_57943_2025-03-06R632025094443.jpeg,clear,-4.7853899002075195,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_2007007009_IC_57943_2025-03-07R732025110050.jpeg,clear,-4.788933753967285,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10003_2007007009_IC_57943_2025-03-08R832025091738.jpeg,clear,-5.2455854415893555,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1304011539_FP_8000120907_2025-03-04R432025122813.jpeg,clear,-5.33243465423584,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1304011539_FP_8000120907_2025-03-05R532025101936.jpeg,clear,-4.940574645996094,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1304011539_FP_8000120907_2025-03-06R632025102411.jpeg,clear,-6.010801315307617,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1304011539_FP_8000120907_2025-03-07R732025104849.jpeg,clear,-5.3678669929504395,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1304011539_FP_8000120907_2025-03-08R832025112744.jpeg,clear,-5.5781168937683105,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1304011539_FP_8000120907_2025-03-09R932025112704.jpeg,clear,-6.045045852661133,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1304011539_FP_8000120907_2025-03-10R1032025094336.jpeg,clear,-5.999179840087891,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1306003108_RC_8000107878_2025-02-19R1922025013419.jpeg,clear,-4.8560614585876465,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1306003108_RC_8000107878_2025-02-20R2022025111307.jpeg,clear,-1.715879201889038,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1306003108_RC_8000107878_2025-02-20R2022025111311.jpeg,clear,-1.715879201889038,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1306003108_RC_8000107878_2025-02-21R2122025110001.jpeg,clear,-1.0797308683395386,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1306003108_RC_8000107878_2025-02-22R2222025112327.jpeg,clear,-1.6333404779434204,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1306003108_RC_8000107878_2025-02-23R2322025113948.jpeg,clear,-4.991950035095215,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1306003108_RC_8000107878_2025-02-24R2422025112133.jpeg,clear,-3.994364023208618,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1306003108_RC_8000107878_2025-02-25R2522025123020.jpeg,clear,-4.061295986175537,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1306003108_RC_8000107878_2025-02-25R2522025123053.jpeg,clear,-4.061295986175537,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1306003108_RC_8000107878_2025-02-25R2522025124043.jpeg,clear,-4.061295986175537,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1306003108_RC_8000107878_2025-02-26R2622025111454.jpeg,clear,-2.622819423675537,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1306003108_RC_8000107878_2025-02-27R2722025113042.jpeg,clear,-4.049597263336182,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1306003108_RC_8000107878_2025-03-01R132025110651.jpeg,clear,-4.51933479309082,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1609002006_LD_654895_2025-02-19R1922025111209.jpeg,clear,-6.293104648590088,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1609002006_LD_654895_2025-02-20R2022025094744.jpeg,clear,-5.973013877868652,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1609002006_LD_654895_2025-02-21R2122025091532.jpeg,clear,-5.62827205657959,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1609002006_LD_654895_2025-02-22R2222025092326.jpeg,clear,-5.000554084777832,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_1610006003_LD_668610_2025-02-19R1922025093907.jpeg,clear,-4.2413434982299805,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_2007007009_IC_57943_2025-02-22R2222025103839.jpeg,clear,-4.531509876251221,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_2007007009_IC_57943_2025-02-23R2322025100358.jpeg,clear,-5.5647149085998535,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_2007007009_IC_57943_2025-02-24R2422025093827.jpeg,clear,-5.437252521514893,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_2007007009_IC_57943_2025-02-25R2522025104331.jpeg,clear,-5.254879474639893,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_2007007009_IC_57943_2025-02-26R2622025093605.jpeg,clear,-4.365284442901611,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_2007007009_IC_57943_2025-02-27R2722025094113.jpeg,clear,-5.438065528869629,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_2007007009_IC_57943_2025-02-28R2822025073733.jpeg,clear,-5.351433753967285,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_2007007009_IC_57943_2025-03-01R132025092503.jpeg,clear,-5.0608320236206055,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_2007007009_IC_57943_2025-03-02R232025090802.jpeg,clear,-5.612443447113037,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_2007007009_IC_57943_2025-03-03R332025103940.jpeg,clear,-4.852638244628906,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_2007007009_IC_57943_2025-03-04R432025091703.jpeg,clear,-4.380539894104004,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_2007007009_IC_57943_2025-03-05R532025083033.jpeg,clear,-4.063615798950195,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_2007007009_IC_57943_2025-03-06R632025092615.jpeg,clear,-5.588730812072754,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_2007007009_IC_57943_2025-03-07R732025110057.jpeg,clear,-4.92820405960083,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10004_2007007009_IC_57943_2025-03-08R832025094307.jpeg,clear,-5.786496162414551,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10005_1306003108_RC_8000107878_2025-02-19R1922025013428.jpeg,clear,-3.100086212158203,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10005_1306003108_RC_8000107878_2025-02-20R2022025111321.jpeg,clear,-0.3963661193847656,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10005_1306003108_RC_8000107878_2025-02-21R2122025110014.jpeg,clear,-3.8871867656707764,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10005_1306003108_RC_8000107878_2025-02-22R2222025112335.jpeg,recaptured,0.3959757089614868,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10005_1306003108_RC_8000107878_2025-02-23R2322025114006.jpeg,clear,-3.4032697677612305,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10005_1306003108_RC_8000107878_2025-02-24R2422025112146.jpeg,clear,-2.6742751598358154,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10005_1306003108_RC_8000107878_2025-02-25R2522025124438.jpeg,clear,-2.6802818775177,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10005_1306003108_RC_8000107878_2025-02-25R2522025124640.jpeg,clear,-2.6802818775177,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10005_1306003108_RC_8000107878_2025-02-26R2622025111507.jpeg,clear,-2.5011982917785645,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10005_1306003108_RC_8000107878_2025-02-27R2722025113112.jpeg,clear,-3.071950912475586,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10005_1306003108_RC_8000107878_2025-03-01R132025111015.jpeg,clear,-2.28082275390625,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10005_1306003108_RC_8000107878_2025-03-01R132025111019.jpeg,clear,-2.28082275390625,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10005_1609002006_LD_654895_2025-02-19R1922025111231.jpeg,clear,-5.706315994262695,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10005_1609002006_LD_654895_2025-02-20R2022025094803.jpeg,clear,-5.265578269958496,
C:\Users\arpitasharma2\OneDrive - Deloitte (O365D)\Desktop\DIU\SNAP\SNAP\10005_1609002006_LD_654895_2025-02-21R2122025091551.jpeg,clear,-4.6191935539245605,
